cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,região,total
840.761.329-04,19:06,20/08/2022,Óleo,18.4,5,5,Cecília,cartão_credito,Bahia,92.0
238.516.407-80,11:27,16/08/2022,Feijão,15.5,6,14,Elisa,cartão_debito,Rio de Janeiro,93.0
621.708.943-22,12:42,10/08/2022,Leite,12.3,2,12,Julia,cartão_debito,Minas Gerais,24.6
863.179.450-39,18:51,27/08/2022,Arroz,21.7,2,12,Elisa,cartão_debito,Bahia,43.4
123.740.596-34,10:26,16/08/2022,Óleo,18.4,5,15,Cecília,cartão_debito,São Paulo,92.0
745.802.619-76,12:43,19/08/2022,Leite,12.3,7,2,Evelyn,pix,Bahia,86.1
759.243.180-79,16:21,30/08/2022,Carne,37.0,7,3,Brenda,cartão_debito,Minas Gerais,259.0
541.780.329-41,08:29,20/08/2022,Arroz,21.7,4,15,Julia,cartão_credito,São Paulo,86.8
924.176.035-43,17:32,20/08/2022,Arroz,21.7,6,17,Evelyn,cartão_debito,Rio de Janeiro,130.2
346.278.015-80,21:17,07/08/2022,Feijão,15.5,5,12,Brenda,cartão_credito,Rio Grande do Sul,77.5
586.793.214-19,13:31,13/08/2022,Macarrão,22.6,8,15,Julia,cartão_credito,Rio Grande do Sul,180.8
793.651.048-66,18:52,04/08/2022,Açúcar,25.5,1,21,Elisa,cartão_debito,Espírito Santo,25.5
049.563.817-00,15:59,20/08/2022,Leite,12.3,1,1,Julia,cartão_debito,Rio de Janeiro,12.3
023.751.984-41,14:42,02/08/2022,Carne,37.0,2,8,Cecília,pix,São Paulo,74.0
721.048.935-50,18:17,25/08/2022,Macarrão,22.6,9,11,Julia,cartão_debito,Espírito Santo,203.4
247.510.386-80,10:21,17/08/2022,Macarrão,22.6,3,12,Evelyn,pix,Espírito Santo,67.8
451.236.078-62,14:40,25/08/2022,Leite,12.3,5,2,Pietra,cartão_debito,Bahia,61.5
953.812.740-41,13:27,17/08/2022,Leite,12.3,3,7,Evelyn,cartão_debito,Minas Gerais,36.9
962.351.780-77,22:18,07/08/2022,Arroz,21.7,9,18,Pietra,dinheiro,Rio de Janeiro,195.3
542.180.736-35,22:20,28/08/2022,Açúcar,25.5,9,10,Evelyn,dinheiro,Espírito Santo,229.5
932.180.476-50,13:19,26/08/2022,Macarrão,22.6,6,16,Cecília,cartão_credito,Bahia,135.6
321.047.865-17,13:59,13/08/2022,Carne,37.0,3,4,Elisa,cartão_debito,São Paulo,111.0
837.912.405-79,22:07,20/08/2022,Macarrão,22.6,7,8,Elisa,pix,Bahia,158.2
875.349.160-20,17:34,21/08/2022,Carne,37.0,5,4,Julia,cartão_debito,Minas Gerais,185.0
924.176.035-43,19:14,22/08/2022,Macarrão,22.6,5,16,Cecília,cartão_debito,Bahia,113.0
237.198.546-55,10:15,30/08/2022,Açúcar,25.5,4,12,Pietra,cartão_credito,Rio Grande do Sul,102.0
204.735.869-83,09:16,23/08/2022,Carne,37.0,10,10,Evelyn,dinheiro,São Paulo,370.0
981.205.647-58,16:47,13/08/2022,Açúcar,25.5,5,10,Evelyn,cartão_credito,Rio de Janeiro,127.5
973.058.461-39,09:21,03/08/2022,Carne,37.0,6,5,Elisa,pix,São Paulo,222.0
713.029.586-40,20:34,11/08/2022,Leite,12.3,3,3,Elisa,cartão_debito,Espírito Santo,36.9
645.238.179-28,08:53,07/08/2022,Óleo,18.4,10,16,Julia,dinheiro,Bahia,184.0
507.328.694-47,20:36,10/08/2022,Açúcar,25.5,3,21,Elisa,cartão_debito,Espírito Santo,76.5
376.028.415-90,19:39,04/08/2022,Leite,12.3,2,8,Cecília,cartão_debito,Bahia,24.6
547.102.986-02,19:20,29/08/2022,Macarrão,22.6,6,4,Cecília,dinheiro,Bahia,135.6
431.956.728-55,12:12,01/08/2022,Óleo,18.4,7,2,Elisa,dinheiro,São Paulo,128.8
324.750.918-60,12:47,12/08/2022,Feijão,15.5,10,5,Julia,cartão_credito,Bahia,155.0
346.278.015-80,10:49,15/08/2022,Arroz,21.7,9,17,Brenda,cartão_credito,Rio de Janeiro,195.3
031.246.895-42,21:53,21/08/2022,Leite,12.3,1,2,Pietra,pix,São Paulo,12.3
930.647.215-34,12:39,08/08/2022,Feijão,15.5,3,17,Evelyn,dinheiro,Espírito Santo,46.5
640.187.392-22,08:59,20/08/2022,Carne,37.0,2,14,Elisa,dinheiro,Bahia,74.0
708.439.615-20,08:37,28/08/2022,Arroz,21.7,1,10,Elisa,pix,Rio Grande do Sul,21.7
461.208.573-62,08:46,23/08/2022,Feijão,15.5,5,10,Pietra,dinheiro,Minas Gerais,77.5
923.654.701-06,19:33,19/08/2022,Açúcar,25.5,5,6,Brenda,pix,Rio de Janeiro,127.5
247.510.386-80,11:58,10/08/2022,Macarrão,22.6,8,2,Evelyn,dinheiro,São Paulo,180.8
182.049.763-13,20:21,08/08/2022,Macarrão,22.6,7,8,Brenda,dinheiro,São Paulo,158.2
752.194.308-23,14:58,24/08/2022,Carne,37.0,9,13,Pietra,cartão_credito,Minas Gerais,333.0
542.180.736-35,22:52,22/08/2022,Óleo,18.4,4,20,Elisa,pix,Rio de Janeiro,73.6
806.153.724-90,15:37,12/08/2022,Óleo,18.4,2,9,Pietra,cartão_debito,Espírito Santo,36.8
873.092.145-79,12:37,29/08/2022,Arroz,21.7,5,16,Elisa,cartão_debito,Bahia,108.5
850.961.234-05,20:43,09/08/2022,Macarrão,22.6,5,1,Brenda,cartão_debito,Minas Gerais,113.0
089.523.147-60,14:58,08/08/2022,Carne,37.0,1,18,Cecília,cartão_credito,Minas Gerais,37.0
089.523.147-60,20:15,09/08/2022,Arroz,21.7,2,5,Pietra,cartão_debito,Rio de Janeiro,43.4
365.718.409-01,11:03,01/08/2022,Macarrão,22.6,8,17,Pietra,cartão_credito,Espírito Santo,180.8
671.534.289-09,14:23,17/08/2022,Leite,12.3,10,4,Brenda,dinheiro,Minas Gerais,123.0
196.870.235-03,12:05,16/08/2022,Macarrão,22.6,7,10,Cecília,pix,São Paulo,158.2
937.402.856-56,11:42,30/08/2022,Leite,12.3,9,19,Brenda,cartão_credito,São Paulo,110.7
013.695.874-57,13:45,14/08/2022,Leite,12.3,9,12,Elisa,cartão_credito,Espírito Santo,110.7
576.420.183-71,17:07,16/08/2022,Arroz,21.7,5,20,Brenda,pix,Bahia,108.5
793.651.048-66,17:27,08/08/2022,Óleo,18.4,10,8,Julia,cartão_debito,Bahia,184.0
763.184.529-82,21:42,24/08/2022,Açúcar,25.5,2,18,Elisa,cartão_credito,Espírito Santo,51.0
261.035.748-62,17:39,05/08/2022,Arroz,21.7,4,18,Evelyn,cartão_debito,Rio Grande do Sul,86.8
123.596.487-64,19:16,20/08/2022,Macarrão,22.6,4,1,Elisa,cartão_credito,Rio de Janeiro,90.4
067.815.243-80,14:56,18/08/2022,Feijão,15.5,6,16,Elisa,cartão_credito,Rio Grande do Sul,93.0
850.961.234-05,13:04,20/08/2022,Arroz,21.7,5,1,Brenda,cartão_credito,São Paulo,108.5
763.184.529-82,08:13,01/08/2022,Óleo,18.4,1,4,Elisa,cartão_debito,São Paulo,18.4
576.420.183-71,16:40,30/08/2022,Leite,12.3,10,11,Pietra,pix,Rio Grande do Sul,123.0
052.478.936-38,18:40,01/08/2022,Leite,12.3,6,19,Evelyn,dinheiro,Rio de Janeiro,73.8
907.162.843-40,13:11,12/08/2022,Óleo,18.4,7,2,Brenda,pix,Rio de Janeiro,128.8
538.107.462-07,09:50,13/08/2022,Óleo,18.4,7,3,Pietra,pix,São Paulo,128.8
189.736.452-00,15:25,17/08/2022,Arroz,21.7,7,10,Evelyn,cartão_credito,Espírito Santo,151.9
840.761.329-04,15:08,26/08/2022,Óleo,18.4,6,4,Evelyn,cartão_debito,Bahia,110.4
043.816.975-10,13:46,14/08/2022,Arroz,21.7,9,9,Pietra,pix,Bahia,195.3
019.352.784-79,20:12,23/08/2022,Óleo,18.4,5,19,Evelyn,cartão_credito,Rio Grande do Sul,92.0
759.243.068-10,12:00,14/08/2022,Arroz,21.7,3,18,Pietra,pix,Rio de Janeiro,65.1
872.043.615-71,16:48,20/08/2022,Macarrão,22.6,5,7,Cecília,dinheiro,Rio Grande do Sul,113.0
632.718.095-77,11:23,30/08/2022,Macarrão,22.6,1,21,Elisa,cartão_debito,Rio de Janeiro,22.6
102.754.896-20,19:50,27/08/2022,Carne,37.0,6,12,Brenda,cartão_credito,São Paulo,222.0
671.984.035-57,21:11,21/08/2022,Leite,12.3,3,21,Elisa,cartão_credito,Espírito Santo,36.9
346.579.201-70,09:56,03/08/2022,Açúcar,25.5,4,11,Pietra,cartão_credito,Bahia,102.0
935.416.820-51,14:51,06/08/2022,Leite,12.3,4,10,Cecília,dinheiro,Bahia,49.2
097.516.842-85,22:23,21/08/2022,Carne,37.0,6,9,Elisa,dinheiro,Rio de Janeiro,222.0
520.137.684-35,22:10,02/08/2022,Leite,12.3,9,1,Pietra,cartão_credito,São Paulo,110.7
902.574.863-56,13:24,13/08/2022,Arroz,21.7,10,13,Cecília,cartão_credito,Minas Gerais,217.0
809.376.214-04,15:00,14/08/2022,Feijão,15.5,7,20,Cecília,dinheiro,Minas Gerais,108.5
395.120.768-02,19:03,03/08/2022,Feijão,15.5,9,12,Brenda,cartão_debito,Rio de Janeiro,139.5
286.173.940-13,17:43,23/08/2022,Açúcar,25.5,7,13,Julia,cartão_credito,Minas Gerais,178.5
638.450.217-80,13:16,21/08/2022,Leite,12.3,5,13,Pietra,cartão_debito,Rio de Janeiro,61.5
807.953.164-10,19:06,16/08/2022,Carne,37.0,2,18,Brenda,cartão_credito,São Paulo,74.0
546.910.238-60,21:23,11/08/2022,Leite,12.3,7,6,Evelyn,pix,Rio de Janeiro,86.1
170.534.682-08,13:34,15/08/2022,Macarrão,22.6,7,15,Brenda,cartão_credito,Bahia,158.2
316.502.498-70,08:36,11/08/2022,Macarrão,22.6,9,14,Elisa,pix,Minas Gerais,203.4
835.172.046-17,18:11,21/08/2022,Macarrão,22.6,8,4,Elisa,cartão_credito,Rio Grande do Sul,180.8
307.584.126-90,13:12,29/08/2022,Óleo,18.4,6,3,Brenda,pix,Rio de Janeiro,110.4
840.761.329-04,13:14,04/08/2022,Óleo,18.4,7,12,Brenda,cartão_debito,Minas Gerais,128.8
324.568.901-24,17:49,08/08/2022,Açúcar,25.5,5,4,Brenda,pix,Bahia,127.5
835.219.746-00,14:20,30/08/2022,Carne,37.0,2,1,Pietra,cartão_debito,Bahia,74.0
928.371.064-96,17:03,09/08/2022,Carne,37.0,8,14,Brenda,cartão_credito,São Paulo,296.0
472.150.963-43,12:45,19/08/2022,Macarrão,22.6,1,3,Pietra,pix,Rio Grande do Sul,22.6
276.058.419-49,22:16,16/08/2022,Óleo,18.4,4,21,Pietra,cartão_credito,Espírito Santo,73.6
369.528.041-70,10:25,30/08/2022,Óleo,18.4,4,1,Elisa,pix,Rio Grande do Sul,73.6
843.627.159-91,15:46,14/08/2022,Óleo,18.4,7,2,Julia,cartão_debito,Bahia,128.8
179.504.268-02,12:16,10/08/2022,Óleo,18.4,8,6,Evelyn,cartão_debito,Bahia,147.2
257.631.980-77,18:16,09/08/2022,Arroz,21.7,8,21,Julia,cartão_credito,Minas Gerais,173.6
423.895.106-98,11:52,01/08/2022,Leite,12.3,7,9,Brenda,dinheiro,Rio Grande do Sul,86.1
052.478.936-38,08:18,22/08/2022,Açúcar,25.5,4,16,Pietra,dinheiro,Minas Gerais,102.0
091.854.763-66,18:23,18/08/2022,Carne,37.0,6,1,Pietra,cartão_debito,Bahia,222.0
546.910.238-60,14:20,26/08/2022,Arroz,21.7,7,19,Brenda,pix,Rio de Janeiro,151.9
157.430.968-48,16:00,04/08/2022,Açúcar,25.5,9,7,Pietra,cartão_credito,Espírito Santo,229.5
908.165.243-51,14:11,13/08/2022,Leite,12.3,1,17,Brenda,cartão_credito,Espírito Santo,12.3
590.483.127-79,12:04,05/08/2022,Óleo,18.4,9,16,Evelyn,cartão_debito,Bahia,165.6
451.236.078-62,13:31,28/08/2022,Carne,37.0,10,6,Brenda,pix,Minas Gerais,370.0
309.642.875-10,14:24,06/08/2022,Carne,37.0,8,6,Pietra,pix,São Paulo,296.0
981.205.647-58,11:25,02/08/2022,Arroz,21.7,9,4,Pietra,pix,Minas Gerais,195.3
865.402.973-00,12:46,01/08/2022,Arroz,21.7,10,17,Brenda,pix,Minas Gerais,217.0
431.956.728-55,09:17,23/08/2022,Óleo,18.4,5,13,Brenda,cartão_debito,Espírito Santo,92.0
031.246.895-42,09:42,12/08/2022,Leite,12.3,8,16,Julia,dinheiro,Minas Gerais,98.4
097.516.842-85,15:50,12/08/2022,Açúcar,25.5,5,12,Julia,pix,Bahia,127.5
074.298.153-32,10:36,15/08/2022,Arroz,21.7,8,9,Cecília,cartão_credito,Minas Gerais,173.6
907.162.843-40,20:18,17/08/2022,Carne,37.0,3,13,Evelyn,dinheiro,Minas Gerais,111.0
369.528.041-70,13:06,08/08/2022,Feijão,15.5,10,14,Elisa,cartão_credito,Rio de Janeiro,155.0
341.268.507-08,12:15,09/08/2022,Feijão,15.5,1,8,Pietra,cartão_credito,Bahia,15.5
069.372.514-16,22:33,06/08/2022,Açúcar,25.5,7,20,Elisa,cartão_credito,Espírito Santo,178.5
638.450.217-80,11:17,30/08/2022,Carne,37.0,9,4,Elisa,pix,Bahia,333.0
736.520.149-52,11:33,18/08/2022,Açúcar,25.5,10,1,Brenda,pix,São Paulo,255.0
529.617.308-21,22:00,12/08/2022,Açúcar,25.5,1,21,Evelyn,pix,Rio de Janeiro,25.5
623.910.478-78,10:38,22/08/2022,Macarrão,22.6,2,4,Julia,cartão_debito,Bahia,45.2
627.859.430-74,22:27,03/08/2022,Leite,12.3,3,11,Evelyn,cartão_debito,Espírito Santo,36.9
472.618.509-85,21:16,14/08/2022,Arroz,21.7,4,7,Evelyn,dinheiro,Rio de Janeiro,86.8
310.864.927-22,09:45,07/08/2022,Açúcar,25.5,3,13,Cecília,pix,Rio Grande do Sul,76.5
309.642.875-10,09:55,23/08/2022,Carne,37.0,7,11,Pietra,cartão_credito,Bahia,259.0
481.350.297-05,16:51,19/08/2022,Arroz,21.7,8,11,Brenda,pix,Bahia,173.6
590.483.127-79,18:56,29/08/2022,Arroz,21.7,2,20,Julia,cartão_debito,São Paulo,43.4
167.529.304-06,18:55,22/08/2022,Açúcar,25.5,2,11,Brenda,cartão_credito,Minas Gerais,51.0
507.942.813-97,08:03,03/08/2022,Óleo,18.4,7,10,Brenda,dinheiro,Bahia,128.8
684.752.039-65,08:52,14/08/2022,Açúcar,25.5,3,12,Evelyn,dinheiro,Minas Gerais,76.5
248.736.901-96,12:06,26/08/2022,Óleo,18.4,6,6,Pietra,pix,Rio de Janeiro,110.4
456.398.207-56,19:42,04/08/2022,Arroz,21.7,2,13,Cecília,cartão_credito,Rio de Janeiro,43.4
809.376.214-04,15:05,01/08/2022,Feijão,15.5,10,14,Brenda,cartão_debito,Espírito Santo,155.0
714.953.026-52,09:55,04/08/2022,Óleo,18.4,10,3,Evelyn,cartão_debito,Espírito Santo,184.0
376.028.415-90,08:38,24/08/2022,Arroz,21.7,3,11,Brenda,cartão_debito,Espírito Santo,65.1
108.597.462-67,08:45,17/08/2022,Leite,12.3,6,20,Pietra,cartão_credito,Bahia,73.8
083.524.697-38,08:59,30/08/2022,Arroz,21.7,9,4,Julia,cartão_debito,Espírito Santo,195.3
920.871.346-69,20:19,13/08/2022,Macarrão,22.6,1,18,Cecília,pix,Minas Gerais,22.6
237.805.164-62,09:22,16/08/2022,Leite,12.3,6,14,Cecília,cartão_credito,Rio de Janeiro,73.8
872.091.534-97,09:43,25/08/2022,Feijão,15.5,6,10,Pietra,pix,São Paulo,93.0
083.524.697-38,22:49,13/08/2022,Açúcar,25.5,3,13,Brenda,dinheiro,Minas Gerais,76.5
452.381.609-33,21:02,04/08/2022,Arroz,21.7,10,19,Brenda,dinheiro,Minas Gerais,217.0
640.187.392-22,20:17,16/08/2022,Carne,37.0,4,16,Elisa,cartão_debito,Rio de Janeiro,148.0
276.058.419-49,22:34,06/08/2022,Feijão,15.5,2,18,Julia,cartão_debito,São Paulo,31.0
684.752.039-65,08:48,14/08/2022,Leite,12.3,3,3,Pietra,dinheiro,Minas Gerais,36.9
267.903.415-52,16:25,19/08/2022,Óleo,18.4,9,12,Evelyn,cartão_debito,Rio Grande do Sul,165.6
074.298.153-32,09:09,22/08/2022,Açúcar,25.5,7,2,Julia,cartão_credito,Rio Grande do Sul,178.5
703.691.285-59,15:13,14/08/2022,Macarrão,22.6,8,1,Brenda,pix,Minas Gerais,180.8
482.075.619-20,18:01,01/08/2022,Açúcar,25.5,2,21,Cecília,cartão_debito,Bahia,51.0
185.920.347-79,15:04,22/08/2022,Feijão,15.5,10,21,Evelyn,cartão_debito,Rio de Janeiro,155.0
267.341.589-00,14:48,26/08/2022,Açúcar,25.5,7,16,Cecília,pix,Espírito Santo,178.5
174.823.596-64,11:43,09/08/2022,Leite,12.3,3,21,Julia,dinheiro,São Paulo,36.9
346.579.201-70,16:15,14/08/2022,Carne,37.0,3,17,Brenda,cartão_credito,Minas Gerais,111.0
054.729.816-11,10:11,24/08/2022,Açúcar,25.5,9,4,Cecília,dinheiro,Minas Gerais,229.5
431.956.728-55,16:58,29/08/2022,Feijão,15.5,3,20,Julia,dinheiro,Rio Grande do Sul,46.5
526.813.470-17,22:05,23/08/2022,Feijão,15.5,4,18,Elisa,pix,Bahia,62.0
094.367.581-20,09:15,29/08/2022,Óleo,18.4,3,20,Julia,cartão_debito,Espírito Santo,55.2
321.045.789-14,16:37,12/08/2022,Arroz,21.7,8,11,Julia,cartão_credito,Rio Grande do Sul,173.6
945.021.768-85,16:47,20/08/2022,Macarrão,22.6,3,14,Pietra,pix,Minas Gerais,67.8
140.286.935-51,19:42,06/08/2022,Açúcar,25.5,4,18,Brenda,pix,Bahia,102.0
164.298.053-60,09:59,04/08/2022,Feijão,15.5,10,13,Cecília,cartão_debito,Rio de Janeiro,155.0
091.854.763-66,21:59,18/08/2022,Arroz,21.7,8,14,Evelyn,cartão_debito,Minas Gerais,173.6
238.516.407-80,20:25,11/08/2022,Açúcar,25.5,4,4,Pietra,cartão_debito,Bahia,102.0
679.513.482-28,11:17,22/08/2022,Carne,37.0,5,9,Brenda,pix,Rio Grande do Sul,185.0
509.364.812-42,10:17,14/08/2022,Leite,12.3,3,10,Pietra,cartão_debito,Bahia,36.9
923.654.701-06,08:53,25/08/2022,Açúcar,25.5,1,6,Evelyn,pix,Espírito Santo,25.5
962.845.173-19,08:20,24/08/2022,Leite,12.3,5,8,Elisa,cartão_debito,Bahia,61.5
897.104.253-23,12:59,19/08/2022,Óleo,18.4,10,2,Julia,cartão_credito,São Paulo,184.0
965.084.231-42,19:16,27/08/2022,Feijão,15.5,4,14,Cecília,cartão_credito,Espírito Santo,62.0
147.509.632-16,16:33,29/08/2022,Óleo,18.4,2,1,Pietra,cartão_debito,Minas Gerais,36.8
860.957.341-93,19:56,22/08/2022,Feijão,15.5,7,8,Julia,cartão_credito,Espírito Santo,108.5
298.403.516-05,08:28,16/08/2022,Arroz,21.7,3,13,Evelyn,cartão_credito,São Paulo,65.1
548.239.017-97,16:28,26/08/2022,Arroz,21.7,5,15,Evelyn,cartão_credito,Espírito Santo,108.5
268.907.541-58,22:44,02/08/2022,Carne,37.0,9,18,Evelyn,dinheiro,Espírito Santo,333.0
423.895.106-98,21:29,14/08/2022,Leite,12.3,3,20,Elisa,pix,Rio Grande do Sul,36.9
346.278.015-80,19:13,06/08/2022,Macarrão,22.6,6,19,Cecília,dinheiro,São Paulo,135.6
475.639.102-80,10:43,22/08/2022,Carne,37.0,7,12,Pietra,dinheiro,Rio de Janeiro,259.0
908.165.243-51,22:28,06/08/2022,Arroz,21.7,1,4,Julia,cartão_debito,Bahia,21.7
023.751.984-41,22:25,26/08/2022,Carne,37.0,10,5,Pietra,pix,Minas Gerais,370.0
329.854.760-38,18:49,20/08/2022,Feijão,15.5,10,11,Brenda,cartão_debito,Minas Gerais,155.0
708.645.129-02,08:17,07/08/2022,Feijão,15.5,5,1,Pietra,pix,Minas Gerais,77.5
850.961.234-05,22:49,04/08/2022,Açúcar,25.5,2,13,Cecília,pix,Minas Gerais,51.0
573.180.249-14,11:30,21/08/2022,Feijão,15.5,2,8,Elisa,cartão_debito,Bahia,31.0
843.507.162-62,16:55,09/08/2022,Macarrão,22.6,8,14,Cecília,cartão_debito,São Paulo,180.8
507.942.813-97,11:05,18/08/2022,Feijão,15.5,4,16,Julia,dinheiro,Minas Gerais,62.0
304.986.215-70,22:33,24/08/2022,Arroz,21.7,5,7,Cecília,cartão_debito,Minas Gerais,108.5
459.213.608-05,13:36,21/08/2022,Açúcar,25.5,7,6,Brenda,pix,São Paulo,178.5
962.351.780-77,22:28,16/08/2022,Açúcar,25.5,6,15,Elisa,pix,Espírito Santo,153.0
548.960.732-74,14:50,01/08/2022,Arroz,21.7,1,18,Julia,cartão_credito,Bahia,21.7
953.812.740-41,14:40,28/08/2022,Óleo,18.4,8,19,Elisa,dinheiro,Rio de Janeiro,147.2
365.718.409-01,14:57,30/08/2022,Óleo,18.4,8,6,Cecília,cartão_credito,Bahia,147.2
168.204.357-62,09:06,20/08/2022,Arroz,21.7,1,2,Julia,dinheiro,Bahia,21.7
023.751.984-41,11:23,16/08/2022,Açúcar,25.5,7,19,Cecília,pix,Bahia,178.5
179.504.268-02,21:32,23/08/2022,Feijão,15.5,5,7,Pietra,dinheiro,São Paulo,77.5
480.251.639-89,14:31,06/08/2022,Feijão,15.5,4,5,Pietra,cartão_credito,Espírito Santo,62.0
860.957.341-93,20:51,21/08/2022,Macarrão,22.6,2,15,Brenda,pix,Espírito Santo,45.2
314.572.608-08,10:07,19/08/2022,Leite,12.3,2,19,Elisa,cartão_debito,Espírito Santo,24.6
542.180.736-35,10:45,01/08/2022,Arroz,21.7,3,17,Julia,dinheiro,Bahia,65.1
621.934.850-89,10:48,08/08/2022,Açúcar,25.5,9,14,Evelyn,cartão_debito,São Paulo,229.5
863.179.450-39,15:15,10/08/2022,Feijão,15.5,10,3,Evelyn,dinheiro,São Paulo,155.0
316.502.498-70,19:22,26/08/2022,Macarrão,22.6,8,7,Julia,pix,Rio de Janeiro,180.8
532.471.968-46,21:26,08/08/2022,Açúcar,25.5,3,6,Evelyn,cartão_debito,Bahia,76.5
852.460.173-62,16:17,26/08/2022,Leite,12.3,1,3,Cecília,dinheiro,Bahia,12.3
708.645.129-02,14:23,22/08/2022,Óleo,18.4,7,20,Elisa,dinheiro,Bahia,128.8
164.950.372-52,18:29,28/08/2022,Feijão,15.5,4,14,Evelyn,cartão_credito,São Paulo,62.0
897.104.253-23,20:56,21/08/2022,Arroz,21.7,9,16,Brenda,cartão_debito,Bahia,195.3
204.735.869-83,11:11,06/08/2022,Feijão,15.5,4,12,Elisa,cartão_debito,Rio de Janeiro,62.0
261.085.973-21,17:12,27/08/2022,Óleo,18.4,6,4,Brenda,cartão_credito,Minas Gerais,110.4
102.754.896-20,09:19,10/08/2022,Leite,12.3,6,1,Brenda,cartão_debito,São Paulo,73.8
526.813.470-17,11:19,09/08/2022,Arroz,21.7,10,12,Pietra,cartão_debito,Rio Grande do Sul,217.0
541.780.329-41,22:34,23/08/2022,Carne,37.0,2,14,Evelyn,dinheiro,Rio Grande do Sul,74.0
123.596.487-64,09:41,28/08/2022,Feijão,15.5,7,4,Pietra,cartão_debito,Bahia,108.5
381.924.560-05,12:17,18/08/2022,Arroz,21.7,7,21,Cecília,cartão_debito,São Paulo,151.9
306.724.815-53,08:08,27/08/2022,Arroz,21.7,4,6,Elisa,cartão_debito,Rio de Janeiro,86.8
304.986.215-70,17:35,11/08/2022,Leite,12.3,5,16,Julia,cartão_credito,São Paulo,61.5
167.425.803-80,22:56,19/08/2022,Açúcar,25.5,1,20,Brenda,cartão_debito,Rio Grande do Sul,25.5
945.021.768-85,16:43,26/08/2022,Carne,37.0,4,3,Brenda,dinheiro,Rio de Janeiro,148.0
869.035.421-24,19:23,28/08/2022,Macarrão,22.6,2,4,Brenda,dinheiro,Rio de Janeiro,45.2
872.091.534-97,10:07,05/08/2022,Açúcar,25.5,9,11,Julia,dinheiro,Rio Grande do Sul,229.5
068.213.497-03,10:21,17/08/2022,Arroz,21.7,3,2,Julia,cartão_debito,Minas Gerais,65.1
732.156.094-52,20:54,20/08/2022,Leite,12.3,4,18,Cecília,dinheiro,Espírito Santo,49.2
019.352.784-79,13:57,01/08/2022,Arroz,21.7,2,18,Elisa,cartão_debito,Espírito Santo,43.4
607.254.193-34,15:23,28/08/2022,Feijão,15.5,3,3,Brenda,dinheiro,Rio de Janeiro,46.5
106.984.375-00,08:12,18/08/2022,Macarrão,22.6,2,17,Julia,pix,Rio Grande do Sul,45.2
148.620.593-33,13:27,23/08/2022,Óleo,18.4,8,5,Evelyn,pix,Bahia,147.2
849.075.213-32,13:14,24/08/2022,Carne,37.0,1,13,Pietra,dinheiro,Espírito Santo,37.0
306.724.815-53,22:13,02/08/2022,Açúcar,25.5,4,4,Elisa,cartão_credito,Minas Gerais,102.0
865.402.973-00,08:52,15/08/2022,Macarrão,22.6,3,2,Elisa,dinheiro,São Paulo,67.8
314.572.608-08,15:35,21/08/2022,Arroz,21.7,8,11,Cecília,cartão_debito,Rio de Janeiro,173.6
